file,channel_count,with_logo_before,logos_added_exact,logos_added_unique_name,with_logo_after,missing_logo_after,coverage_percent
de.xml,815,798,0,4,802,13,98.4
samsung.xml,404,0,0,110,110,294,27.23
pluto.xml,179,0,0,59,59,120,32.96
amazon.xml,14,0,0,8,8,6,57.14
