xmltv_id,display_name,groups
BarkTV.us@SD,Bark TV,Entertainment
BattlestarGalactica.us@SD,Battlestar Galactica,Movies;Series
BATV.us@SD,BATV,General
BATVEducationalChannel.us@SD,BATV Educational Channel,Education
BATVGovernmentChannel.us@SD,BATV Government Channel,Legislative
BATVGovernmentTV.us@SD,BATV Government TV,Legislative
BATVPublicChannel.us@SD,BATV Public Channel,General
Baywatch.us@US,Baywatch,Series
BBCFood.us@SD,BBC Food,Cooking
BBCKids.us@SD,BBC Kids,Kids
BeachTVFloridaAlabama.us@SD,Beach TV Florida & Alabama,Travel
BeachTVKeyWestFloridaKeys.us@SD,Beach TV Key West & Florida Keys,Travel
BeachTVMyrtleBeachTheGrandStrand.us@SD,Beach TV Myrtle Beach & The Grand Strand,Travel
BeachTVPanamaCity.us@SD,Beach TV Panama City,Travel
beINSPORTSXTRAenEspanol.us@SD,beIN SPORTS XTRA en Espanol,Sports
BEKNews.us@SD,BEK News,News
BEKSports.us@West,BEK Sports West,Sports
BerksCommunityTV.us@SD,Berks Community TV,General
BestofBATVChannel.us@SD,Best of BATV Channel,General
BETClassicsPlutoTV.us@SD,BET Classics Pluto TV,Entertainment
BetterHealthTV.us@SD,Better Health TV,Lifestyle
BetterLifeNatureChannel.us@SD,Better Life Nature Channel,Relax
BetterLifeTV.us@SD,Better Life TV,Religious
BHTV10.us@SD,BHTV10,Undefined
BHTV35.us@SD,BHTV35,Undefined
BIGCivicChannel.us@SD,BIG Civic Channel,General
BIGCommunityChannel.us@SD,BIG Community Channel,General
Binge.us@SD,Binge,General
BizTV.us@SD,Biz TV,Lifestyle
BlackNewsChannel.us@SD,Black News Channel,News
BloombergTV.us@LiveEvent,Bloomberg TV Live Event,Business
BloombergTV.us@PoliticsLiveEvent,Bloomberg TV Politics Live Event,Business
BloombergTV.us@US,Bloomberg TV,Business
BMCHDTV.us@SD,BMC-HD TV,General
Bounce.us@SD,Bounce,Undefined
BPTV.us@SD,BPTV,Legislative
BPXTVRadio.us@SD,BPX TV Radio,Music
BrevardGovernmentAccessTV.us@SD,Brevard Government Access TV,Legislative
BusinessRockstars.us@SD,Business Rockstars,Business
BUTV10.us@SD,BUTV10,Education
BXArts.us@SD,BX Arts,Culture
BXCulture.us@SD,BX Culture,Culture
BXInform.us@SD,BX Inform,General;News
BXInspire.us@SD,BX Inspire,General;Religious
BXOmni.us@SD,BX Omni,General
CafeTradeTV.ir@SD,Cafe Trade TV,Business
CaliforniaMusicChannel.us@SD,California Music Channel,Music
CameraSmileTV.us@SD,Camera Smile TV,Comedy
CampSpoopy.us@SD,Camp Spoopy,Kids
CanaldelaFe.us@SD,Canal de la Fe,Religious
CanelaTV.us@SD,Canela TV,Entertainment
CANTV19.us@SD,CAN TV19,General
CANTV21.us@SD,CAN TV21,General
CANTV27.us@SD,CAN TV27,General
CANTV36.us@SD,CAN TV36,General
CapitalCityConnectionMontgomery.us@SD,Capital City Connection Montgomery,Legislative
CatholicFaithNetwork.us@SD,Catholic Faith Network,Religious
CBNEspanol.us@SD,CBN Espanol,Religious
CBNFamily.us@SD,CBN Family,Religious
CBSNewsPhilly.us@SD,CBS News Philly,News
CCTV.us@SD,CC-TV,Undefined
CCX1.us@SD,CCX1,General
CelebrityNameGame.us@SD,Celebrity Name Game,Series
CelebritySceneTV.us@SD,Celebrity Scene TV,Undefined
CerritosTV3.us@SD,Cerritos TV3,General
CFMTVChannel98.us@SD,CFM TV Channel 98,Legislative
CGTV.us@SD,CGTV,Legislative
Channel10.us@SD,Channel 10 (United States),Legislative
Channel18GAC.us@SD,Channel 18 GAC,Legislative
ChannelOne.us@SD,Channel One (United States),Culture;News
CheddarNews.us@SD,Cheddar News,News
ChefChampion.us@SD,Chef Champion,Cooking
ChefRocShow.us@SD,Chef Roc Show,Cooking
ChristianYouthChannelCYC.us@SD,Christian Youth Channel CYC,Kids;Religious
CinePride.us@SD,CinePride,Lifestyle
CineRomantico.us@SD,Cine Romantico,Movies
Cinevault80s.us@SD,Cinevault 80s,Movies
Circle.us@SD,Circle,Entertainment
CityofFairfieldChannel26.us@SD,City of Fairfield Channel 26,General
CityofFortPierce.us@SD,City of Fort Pierce,Legislative
CityofLovelandTV.us@SD,City of Loveland TV,General
CityofMonroeGovernmentChannel.us@SD,City of Monroe Government Channel,Legislative
CityofPompanoBeach.us@SD,City of Pompano Beach,Legislative
CityTV20SantaMonica.us@SD,CityTV 20 Santa Monica,Legislative
CityTVCarlsbad.us@SD,City TV Carlsbad,General
CityTVChannel341.us@SD,City TV Channel 3/41,Legislative
CityTVLakewood.us@SD,CityTV Lakewood,General
CityTVSanDiego.us@SD,CityTV San Diego,Legislative
CityTVWhittier.us@SD,CityTV Whittier,Legislative
Clarity4K.us@SD,Clarity 4K,General
CloudflareTV.us@SD,Cloudflare TV,Education
CMAC1.us@SD,CMAC 1,General
CMAC2.us@SD,CMAC 2,Education
CMAC3.us@SD,CMAC 3,Legislative
CMAPChannel17.us@SD,CMAP Channel 17,Legislative
CMAPChannel18.us@SD,CMAP Channel 18,General
CMAPChannel19.us@SD,CMAP Channel 19,Undefined
CMAPChannel20.us@SD,CMAP Channel 20,General
CMCUSACountryMusicChannel.us@SD,CMC-USA Country Music Channel,Music
CMTV.us@SD,CMTV,General
ColdCaseFiles.us@SD,Cold Case Files,Series
