xmltv_id,display_name,category,source_id,source_display_name,match_method,programme_count
NBC.us@WGAL,NBC 8 Lancaster PA (WGAL),local,NBCWGAL.us,NBC WGAL Harrisburg Lancaster York PA,base-feed-id,101
NBC.us@WGBATV,NBC 26 Green Bay WI (WGBA),local,NBCWGBA.us,NBC WGBA Green Bay WI,base-feed-id,100
NBC.us@WHECTV,NBC 10 Rochester NY (WHEC),local,NBCWHEC.us,NBC WHEC Rochester NY,base-feed-id,101
NBC.us@WJACTV,NBC 6 Johnstown PA (WJAC),local,NBCWJAC.us,NBC WJAC Altoona Johnstown PA,base-feed-id,120
NBC.us@WJAR,NBC 10 Providence MA,local,NBCWJAR.us,NBC WJAR Providence RI,base-feed-id,107
NBC.us@WLIO,NBC 8 Lima OH (WLIO-DT1),local,NBCWLIO.us,NBC WLIO Lima OH,base-feed-id,114
NBC.us@WMAQTV,NBC 5 Chicago Live News,local,NBCWMAQ.us,NBC WMAQ Chicago IL,base-feed-id,105
NBC.us@WMGTTV,WMGT-TV News (Macon GA),local,NBCWMGT.us,NBC WMGT Macon GA,base-feed-id,101
NBC.us@WNYT,NBC 13 Albany NY (WNYT),local,NBCWNYT.us,NBC WNYT Albany NY,base-feed-id,109
NBC.us@WOAITV,NBC 4 San Antonio TX (WOAI),local,NBCWOAI.us,NBC WOAI San Antonio TX,base-feed-id,105
NBC.us@WPTVTV,WPTV News West Palm Beach FL,local,NBCWPTV.us,NBC WPTV West Palm Beach FL,base-feed-id,105
NBC.us@WPXI,WPXI-DT1,local,NBCWPXI.us,NBC WPXI Pittsburgh PA,base-feed-id,107
NBC.us@WRDELD,CoastTV NBC (WRDE-LD),local,NBCWRDE.us,NBC WRDE Salisbury MD,base-feed-id,112
NBC.us@WTMJTV,NBC 4 Milwaukee WI (WTMJ),local,NBCWTMJ.us,NBC WTMJ Milwaukee WI,base-feed-id,99
NBC.us@WTOVTV,NBC 9 Steubenville OH (WTOV),local,NBCWTOV.us,NBC WTOV Steubenville OH,base-feed-id,97
NBC.us@WTVJ,WTVJ-DT1,local,NBCWTVJ.us,NBC WTVJ Miami FL,base-feed-id,102
NBC.us@WVIT,WVIT-DT1,local,NBCWVIT.us,NBC WVIT New Britain CT,base-feed-id,106
NBCNewsNOW.us@SD,NBC News NOW,fast,NBCNewsNow.us,NBC News NOW,base-id,86
NBCSportsBayArea.us@SD,NBC Sports Bay Area,sports,NBCSportsBayArea.us,NBC Sports Bay Area,base-id,212
NBCSportsNOW.us@SD,NBC Sports NOW,fast,NBCSportsNOW.pluto,PLUTO - NBC Sports NOW,normalized-base-id,10
NBCSportsPhiladelphia.us@SD,NBC Sports Philadelphia,sports,NBCSportsPhiladelphia.us,NBC Sports Philadelphia,base-id,139
News12Bronx.us@SD,News12 Bronx,local,News12Bronx.us,News12 Bronx,base-id,169
News12Brooklyn.us@SD,News12 Brooklyn,local,News12Brooklyn.us,News12 Brooklyn,base-id,169
News12HudsonValley.us@SD,News12 Hudson Valley,local,News12HudsonValley.us,News12 Hudson Valley,base-id,169
News12NewYork.us@SD,News 12 New York,fast,News12NewYork.pluto,PLUTO - News 12 New York,normalized-base-id,39
News12Westchester.us@SD,News12 Westchester,local,News12Westchester.us,News12 Westchester,base-id,97
Newsmax2.us@SD,Newsmax 2,fast,Newsmax2.us,Newsmax 2,base-id,82
NewsmaxTV.us@SD,Newsmax TV,local,NewsmaxTV.us,Newsmax TV,base-id,70
NFLChannel.us@SD,NFL Channel,fast,NFLChannel.us,NFL Channel,base-id,76
NFLNetwork.us@SD,NFL Network,sports,NFLNetwork.us,NFL Network,base-id,92
NHLNetwork.us@SD,NHL Network,sports,NHLNetwork.us,NHL Network,base-id,112
NHRATV.us@SD,NHRA TV,fast,NHRATV.us,NHRA TV,base-id,59
Nickelodeon.us@East,Nickelodeon,main,Nickelodeon.us,Nickelodeon,base-id,268
Nickelodeonenespanol.us@SD,Nickelodeon en español,fast,Nickelodeonenespañol.pluto,PLUTO - Nickelodeon en español,normalized-base-id,39
NickelodeonPlutoTV.us@SD,Nickelodeon Pluto TV,fast,NickelodeonPlutoTV.pluto,PLUTO - Nickelodeon Pluto TV,normalized-base-id,45
NickJr.us@East,Nick Jr.,main,NickJr.us,Nick Jr.,base-id,318
NickJrPlutoTV.us@US,Nick Jr. Pluto TV,fast,NickJr.PlutoTV.pluto,PLUTOTV - Nick Jr. Pluto TV,normalized-base-id,46
Nicktoons.us@East,Nicktoons,main,Nicktoons.us,Nicktoons,base-id,370
Nosey.us@US,Nosey,fast,Nosey.us,Nosey,base-id,113
NOST.us@SD,NOST,local,NOST.us,NOST,base-id,70
NRBTV.us@SD,NRBTV,local,NRBTV.us,NRBTV,base-id,126
OANPlus.us@SD,OANPlus,fast,OANPlus.us,OAN Plus,base-id,85
OneAmericaNewsNetwork.us@SD,One America News Network,local,OneAmericaNewsNetwork.us,One America News Network,base-id,87
OnePiece.us@US,One Piece,fast,OnePiece.pluto,PLUTO - One Piece,normalized-base-id,39
OutdoorAmerica.us@SD,Outdoor America,fast,OutdoorAmerica.us,Outdoor America,base-id,22
OutdoorChannel.us@HD,Outdoor Channel HD,local,OutdoorChannel.us,Outdoor Channel,base-id,167
OutdoorChannel.us@SD,Outdoor Channel,local,OutdoorChannel.us,Outdoor Channel,base-id,167
OuterSphere.us@SD,OuterSphere,fast,OuterSphereByLionsgate.us,OuterSphere by Lionsgate,metadata-name,41
Oxygen.us@East,Oxygen,main,Oxygen.us,Oxygen,base-id,139
ParamountMovieChannel.us@SD,Paramount Movie Channel,fast,ParamountMovieChannel.pluto,PLUTO - Paramount Movie Channel,normalized-base-id,14
ParamountPlusPicks.us@SD,Paramount+ Picks,fast,Paramount+Picks.pluto,PLUTO - Paramount+ Picks,normalized-base-id,25
PBRRidePass.us@SD,PBR RidePass,fast,PBRRidePass.us,PBR RidePass,base-id,60
PBS.us@East,PBS National East,main,PBS.us,PBS,base-id,226
PBS.us@KETS,Arkansas PBS,local,PBSKETS.us,PBS KETS Little Rock AR,base-feed-id,127
PBS.us@KHET,PBS Honolulu HI (KHET),local,PBSKHET.us,PBS Hawaii KHET Honolulu HI,base-feed-id,139
PBS.us@KMOSTV,PBS Sedalia British Columbia MO (KMOS),local,PBSKMOS.us,PBS KMOS Columbia Jefferson City MO,base-feed-id,120
PBS.us@KQED,KQED-DT2,local,PBSKQED.us,PBS KQED San Francisco CA,base-feed-id,119
PBS.us@KUONTV,PBS Lincoln NE (KUON),local,PBSKUON.us,PBS KUON NEBRASKA NE,base-feed-id,121
PBS.us@KVIE,KVIE-DT2,local,PBSKVIE.us,PBS KVIE Sacramento CA,base-feed-id,114
PBS.us@WNJT,PBS New Jersey NJ (WNJT),local,PBSWNJT.us,PBS WNJT New Jersey NJ,base-feed-id,139
PBSAntiquesRoadshow.us@SD,Antiques Roadshow PBS,fast,PBSAntiquesRoadshow.pluto,PLUTO - PBS Antiques Roadshow,normalized-base-id,19
PBSNature.us@SD,PBS Nature,fast,PBSNature.pluto,PLUTO - PBS Nature,normalized-base-id,21
PeopleAreAwesome.us@SD,People Are Awesome,local,PeopleAreAwesome.us,People Are Awesome,base-id,160
PeppaPig.us@SD,Peppa Pig,fast,PeppaPig.pluto,PLUTO - Peppa Pig,normalized-base-id,40
PerryMason.us@SD,Perry Mason,fast,PerryMason.pluto,PLUTO - Perry Mason,normalized-base-id,21
PGATour.us@SD,PGA Tour,fast,PGATOUR.pluto,PLUTO - PGA TOUR,normalized-base-id,22
PlutoTVAction.us@US,Pluto TV Action,fast,PlutoTVAction.pluto,PLUTO - Pluto TV Action,normalized-base-id,11
PlutoTVAnime.us@US,Pluto TV Anime,fast,PlutoTVAnime.pluto,PLUTO - Pluto TV Anime,normalized-base-id,39
