xmltv_id,name,status,programme_count,selected_site,candidate_count,attempt_count,attempts,reasons
Sport1.de@SD,SPORT1,OK,165,web.magentatv.de,10,1,web.magentatv.de:OK:165,broadcast_area=DE;lang=de
Sport1Plus.de@HD,Sport1+ HD,NO_EPG,0,,1,1,tv.magenta.at:OK:0,broadcast_area=DE;lang=de
Sport1Plus.de@SD,Sportdigital1+,OK,110,web.magentatv.de,3,1,web.magentatv.de:OK:110,broadcast_area=DE;lang=de
Sportdigital1Plus.de@HD,Sportdigital1+,OK,104,sky.com,1,1,sky.com:OK:104,broadcast_area=DE;lang=de
SportdigitalFUSSBALL.de@HD,SPORTDIGITAL FUSSBALL HD,NO_EPG,0,,1,1,tv.magenta.at:OK:0,broadcast_area=DE;lang=de
SportdigitalFUSSBALL.de@SD,SPORTDIGITAL FUSSBALL,OK,129,web.magentatv.de,5,1,web.magentatv.de:OK:129,broadcast_area=DE;iptv-country=DE;lang=de
SportdigitalFUSSBALL2.de@HD,SPORTDIGITAL FUSSBALL 2,OK,75,tv.blue.ch,1,1,tv.blue.ch:OK:75,broadcast_area=DE;lang=de
StarTV.ch@SD,Star TV,OK,111,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:111,lang=de
StimmungsgartenTV.at@SD,Stimmungsgarten TV,OK,113,sky.com,2,1,sky.com:OK:113,broadcast_area=DE;lang=de
StingrayClassica.ca@HD,Stingray Classica HD,NO_EPG,0,,1,1,tv.magenta.at:OK:0,lang=de
StingrayClassica.ca@SD,Stingray Classica D,OK,189,tv.blue.ch,1,1,tv.blue.ch:OK:189,lang=de
Streamstertv.de@SD,Streamster.tv,NO_EPG,0,,1,1,tv.magenta.at:OK:0,broadcast_area=DE;lang=de
Studio47.de@SD,Studio 47,OK,251,web.magentatv.de,1,1,web.magentatv.de:OK:251,broadcast_area=DE;lang=de
Sudostschweiz.ch@SD,Tele Südostschweiz,OK,451,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:451,lang=de
Swiss1.ch@SD,SWISS1,OK,144,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:144,lang=de
SwissSportTV.ch@SD,Swiss Sport TV,OK,73,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:73,lang=de
Sylt1.de@SD,SYLT1,OK,49,tv.blue.ch,1,1,tv.blue.ch:OK:49,broadcast_area=DE;lang=de
TELE5.de@HD,TELE 5 HD,OK,135,sky.com,1,1,sky.com:OK:135,broadcast_area=DE;lang=de
TELE5.de@SD,TELE 5,OK,141,web.magentatv.de,9,1,web.magentatv.de:OK:141,broadcast_area=DE;lang=de
TELE5Austria.at@HD,TELE 5 HD Austria,OK,135,sky.com,1,1,sky.com:OK:135,lang=de
TLC.at@HD,TLC Austria HD,OK,210,sky.com,1,1,sky.com:OK:210,lang=de
TLC.at@SD,TLC Austria,OK,210,sky.com,2,1,sky.com:OK:210,lang=de
TLC.de@HD,TLC HD,OK,210,sky.com,2,1,sky.com:OK:210,broadcast_area=DE;lang=de
TLC.de@SD,TLC,OK,212,web.magentatv.de,5,1,web.magentatv.de:OK:212,broadcast_area=DE;lang=de
TOGGOplus.de@SD,TOGGO plus,OK,478,web.magentatv.de,7,1,web.magentatv.de:OK:478,broadcast_area=DE;lang=de
TOPSERIEN.de@HD,Top Serien,NO_EPG,0,,1,1,teleboy.ch:OK:0,broadcast_area=DE;lang=de
TOPTRUECRIME.de@HD,Top True Crime,NO_EPG,0,,1,1,teleboy.ch:OK:0,broadcast_area=DE;lang=de
TRTWorld.tr@HD,TRT World HD,OK,326,sky.com,1,1,sky.com:OK:326,lang=de
TRTWorld.tr@SD,TRT World,NO_EPG,0,,1,1,tv.magenta.at:OK:0,lang=de
TV24.ch@SD,TV24,OK,96,tv.blue.ch,3,2,teleboy.ch:OK:0;tv.blue.ch:OK:96,lang=de
TV25.ch@SD,TV25,OK,91,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:91,lang=de
TV4TNG.ch@SD,TV4TNG,NO_EPG,0,,1,1,tv.blue.ch:OK:0,lang=de
TV5MondeEurope.fr@SD,TV5MONDE EUROPE HD,OK,415,sky.com,2,1,sky.com:OK:415,lang=de
TV8int.tr@SD,TV8 Int,OK,90,web.magentatv.de,1,1,web.magentatv.de:OK:90,lang=de
TVA.de@SD,TVA Ostbayern,OK,457,web.magentatv.de,1,1,web.magentatv.de:OK:457,broadcast_area=DE;iptv-country=DE;lang=de
TVBerlin.de@SD,tv.berlin,OK,72,web.magentatv.de,1,1,web.magentatv.de:OK:72,broadcast_area=DE;lang=de
TVCGMNE.me@SD,MNE,NO_EPG,0,,1,1,tv.magenta.at:OK:0,lang=de
TVIngolstadt.de@SD,tv.ingolstadt,OK,423,web.magentatv.de,2,1,web.magentatv.de:OK:423,broadcast_area=DE;iptv-country=DE;lang=de
TVMainfranken.de@SD,TV Mainfranken,OK,422,web.magentatv.de,2,1,web.magentatv.de:OK:422,broadcast_area=DE;iptv-country=DE;lang=de
TVMittelrhein.de@SD,TV Mittelrhein,OK,57,web.magentatv.de,1,1,web.magentatv.de:OK:57,broadcast_area=DE;lang=de
TVO.ch@SD,TVO - das Ostschweizer Fernsehen,OK,554,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:554,lang=de
TVOberfranken.de@SD,TV Oberfranken,OK,453,web.magentatv.de,1,1,web.magentatv.de:OK:453,broadcast_area=DE;iptv-country=DE;lang=de
TVOberwallis.ch@SD,TV Oberwallis,OK,132,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:132,lang=de
TVPPolonia.pl@SD,TVP Polonia,OK,294,web.magentatv.de,2,1,web.magentatv.de:OK:294,lang=de
TVRIWorld.id@SD,TVRI WORLD HD,OK,42,sky.com,1,1,sky.com:OK:42,lang=de
TVRheintal.ch@SD,TV Rheintal,OK,49,tv.blue.ch,1,1,tv.blue.ch:OK:49,lang=de
TVWestsachsen.de@SD,TV Westsachsen,OK,111,web.magentatv.de,1,1,web.magentatv.de:OK:111,broadcast_area=DE;lang=de
TakeshisCastle.us@Germany,Takeshi's Castle,OK,25,i.mjh.nz,2,1,i.mjh.nz:OK:25,lang=de
Tastemade.us@Australia,Tastemade,NO_EPG,0,,3,2,plex.tv:OK:0;i.mjh.nz:OK:0,broadcast_area=DE
Tastemade.us@UK,Tastemade,NO_EPG,0,,3,2,plex.tv:OK:0;i.mjh.nz:OK:0,broadcast_area=DE
Tastemade.us@US,Tastemade,OK,273,plex.tv,8,1,plex.tv:OK:273,broadcast_area=DE
TeenNick.us@East,TeenNick,OK,422,tvguide.com,2,1,tvguide.com:OK:422,broadcast_area=DE
Tele1.ch@SD,Tele 1,OK,595,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:595,lang=de
TeleBarn.ch@SD,TeleBärn,OK,573,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:573,lang=de
TeleBielingue.ch@SD,TeleBielingue,OK,343,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:343,lang=de
TeleD.ch@SD,Tele D,OK,99,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:99,lang=de
TeleGold.de@SD,TELEGOLD,OK,116,sky.com,2,1,sky.com:OK:116,broadcast_area=DE;lang=de
TeleM1.ch@SD,Tele M1,OK,614,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:614,lang=de
TeleTop.ch@SD,Tele Top,OK,531,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:531,lang=de
TeleZ.ch@SD,Tele Z,OK,317,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:317,lang=de
TeleZentralschweiz.ch@SD,Tele Zentralschweiz,OK,175,tv.blue.ch,1,1,tv.blue.ch:OK:175,lang=de
TeleZuri.ch@SD,TeleZüri,OK,545,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:545,lang=de
Telebasel.ch@SD,Telebasel,OK,689,tv.blue.ch,2,2,teleboy.ch:OK:0;tv.blue.ch:OK:689,lang=de
TelebomTeledom.de@SD,TeleBom/TeleDom,OK,42,web.magentatv.de,2,1,web.magentatv.de:OK:42,broadcast_area=DE;lang=de
Televista.ch@SD,Televista,OK,343,tv.blue.ch,1,1,tv.blue.ch:OK:343,lang=de
TennisChannel.us@SD,Tennis Channel,OK,21,i.mjh.nz,2,1,i.mjh.nz:OK:21,lang=de
TerraMaterWILD.de@English,Terra Mater Wild (EN),NO_EPG,0,,1,1,watch.whaletvplus.com:OK:0,broadcast_area=DE
TerraMaterWILD.de@German,Terra Mater WILD,OK,21,i.mjh.nz,4,1,i.mjh.nz:OK:21,broadcast_area=DE;iptv-country=DE;lang=de
TheAsylum.us@France,The Asylum,OK,9,i.mjh.nz,1,1,i.mjh.nz:OK:9,broadcast_area=DE
TheAsylum.us@US,The Asylum,OK,48,i.mjh.nz,3,1,i.mjh.nz:OK:48,broadcast_area=DE
TheGrahamNortonShow.uk@SD,The Graham Norton Show,OK,243,plex.tv,7,1,plex.tv:OK:243,broadcast_area=DE;iptv-country=DE
ThePetCollective.us@Brazil,The Pet Collective,OK,8,i.mjh.nz,2,1,i.mjh.nz:OK:8,broadcast_area=DE
ThePetCollective.us@UK,The Pet Collective,OK,282,plex.tv,9,1,plex.tv:OK:282,broadcast_area=DE
ThePetCollective.us@US,The Pet Collective,OK,12,i.mjh.nz,5,1,i.mjh.nz:OK:12,broadcast_area=DE
TirolTV.at@HD,Tirol TV HD,NO_EPG,0,,1,1,tv.magenta.at:OK:0,lang=de
TotallyTurtles.us@Germany,Totally Turtles,OK,26,i.mjh.nz,2,1,i.mjh.nz:OK:26,lang=de
ToxicTV.rs@HD,Toxic TV HD,NO_EPG,0,,1,1,tv.magenta.at:OK:0,lang=de
Trailers.es@DE,Trailers (DE),NO_EPG,0,,1,1,watch.whaletvplus.com:OK:0,broadcast_area=DE;lang=de
Trailers.es@ES,Trailers (ES),NO_EPG,0,,1,1,watch.whaletvplus.com:OK:0,broadcast_area=DE
Trailers.es@FR,TRAILERS,OK,123,plex.tv,3,1,plex.tv:OK:123,broadcast_area=DE
Trailers.es@IT,TRAILERS,OK,184,plex.tv,2,1,plex.tv:OK:184,broadcast_area=DE
Trailers.es@UK,Trailers (EN),NO_EPG,0,,1,1,watch.whaletvplus.com:OK:0,broadcast_area=DE
Travelxp.in@DE,Travelxp (DE),NO_EPG,0,,1,1,watch.whaletvplus.com:OK:0,lang=de
UHD1.lu@SD,UHD1 by ASTRA,OK,138,tv.blue.ch,1,1,tv.blue.ch:OK:138,lang=de
UlkeTV.tr@SD,ÜLKE TV,OK,35,web.magentatv.de,1,1,web.magentatv.de:OK:35,lang=de
UniversalTV.de@HD,Universal TV HD,OK,234,sky.com,2,1,sky.com:OK:234,broadcast_area=DE;lang=de
UniversalTV.de@SD,Universal TV,OK,240,web.magentatv.de,3,1,web.magentatv.de:OK:240,broadcast_area=DE;lang=de
VOX.at@HD,VOX HD Austria,OK,185,sky.com,2,1,sky.com:OK:185,lang=de
VOX.at@SD,VOX Austria,OK,185,sky.com,4,1,sky.com:OK:185,lang=de
VOX.de@HD,VOX HD,OK,185,sky.com,1,1,sky.com:OK:185,broadcast_area=DE;lang=de
VOX.de@SD,VOX,OK,191,web.magentatv.de,16,1,web.magentatv.de:OK:191,broadcast_area=DE;lang=de
Vesti.rs@SD,VESTI,NO_EPG,0,,1,1,tv.magenta.at:OK:0,lang=de
VividTouch.uk@SD,Vivid Touch,NO_EPG,0,,1,1,programtv.onet.pl:TIMEOUT:0,lang=de
VolksmusikTV.de@SD,Volksmusik.TV,OK,101,sky.com,2,1,sky.com:OK:101,broadcast_area=DE;iptv-country=DE;lang=de
Voxup.de@SD,VOXup,OK,193,web.magentatv.de,6,1,web.magentatv.de:OK:193,broadcast_area=DE;lang=de
W24.at@HD,W24 HD,NO_EPG,0,,1,1,tv.magenta.at:OK:0,lang=de
W24.at@SD,W24,NO_EPG,0,,1,1,tv.magenta.at:OK:0,lang=de
WDR1Live.de@SD,1LIVE,NO_EPG,0,,2,2,sky.com:OK:0;programtv.onet.pl:TIMEOUT:0,broadcast_area=DE;iptv-country=DE;lang=de
WDRFernsehen.de,WDR,OK,268,tv.blue.ch,1,1,tv.blue.ch:OK:268,lang=de
WDRFernsehen.de@Aachen,WDR HD Aachen,OK,265,sky.com,1,1,sky.com:OK:265,iptv-country=DE;lang=de
WDRFernsehen.de@Bielefeld,WDR HD Bielefeld,OK,265,sky.com,1,1,sky.com:OK:265,iptv-country=DE;lang=de
WDRFernsehen.de@Bonn,WDR HD Bonn,OK,265,sky.com,1,1,sky.com:OK:265,iptv-country=DE;lang=de
WDRFernsehen.de@Dortmund,WDR HD Dortmund,OK,265,sky.com,1,1,sky.com:OK:265,iptv-country=DE;lang=de
WDRFernsehen.de@Duisburg,WDR HD Duisburg,OK,265,sky.com,1,1,sky.com:OK:265,iptv-country=DE;lang=de
WDRFernsehen.de@Dusseldorf,WDR HD Düsseldorf,OK,265,sky.com,1,1,sky.com:OK:265,iptv-country=DE;lang=de
WDRFernsehen.de@Essen,WDR HD Essen,OK,265,sky.com,1,1,sky.com:OK:265,iptv-country=DE;lang=de
WDRFernsehen.de@Koln,WDR HD Köln,OK,265,sky.com,3,1,sky.com:OK:265,iptv-country=DE;lang=de
WDRFernsehen.de@Munster,WDR HD Münster,OK,265,sky.com,1,1,sky.com:OK:265,iptv-country=DE;lang=de
WDRFernsehen.de@Siegen,WDR HD Siegen,OK,265,sky.com,1,1,sky.com:OK:265,iptv-country=DE;lang=de
WDRFernsehen.de@Wuppertal,WDR HD Wuppertal,OK,265,sky.com,1,1,sky.com:OK:265,iptv-country=DE;lang=de
WELT.de@SD,WELT,OK,472,web.magentatv.de,13,1,web.magentatv.de:OK:472,broadcast_area=DE;lang=de
Waidwerk.de@SD,WAIDWERK,OK,347,sky.com,1,1,sky.com:OK:347,broadcast_area=DE;lang=de
WarnerTVComedy.de@HD,Warner TV Comedy HD,OK,429,sky.com,2,1,sky.com:OK:429,broadcast_area=DE;lang=de
WarnerTVComedy.de@SD,Warner TV Comedy,OK,437,web.magentatv.de,5,1,web.magentatv.de:OK:437,broadcast_area=DE;lang=de
WarnerTVFilm.de@HD,Warner TV Film HD,OK,91,sky.com,1,1,sky.com:OK:91,broadcast_area=DE;lang=de
WarnerTVFilm.de@SD,Warner TV Film,OK,97,web.magentatv.de,5,1,web.magentatv.de:OK:97,broadcast_area=DE;lang=de
WarnerTVSerie.de@HD,Warner TV Serie HD,OK,214,sky.com,2,1,sky.com:OK:214,broadcast_area=DE;lang=de
WarnerTVSerie.de@SD,Warner TV Serie,OK,220,web.magentatv.de,4,1,web.magentatv.de:OK:220,broadcast_area=DE;lang=de
WedoBigStories.ch@SD,Wedo Big Stories,NO_EPG,0,,1,1,teleboy.ch:OK:0,lang=de
WeltderWunderTV.de@SD,Welt der Wunder,OK,159,web.magentatv.de,4,1,web.magentatv.de:OK:159,broadcast_area=DE;iptv-country=DE;lang=de
WettercomTV.de@SD,wetter.com TV,OK,1499,web.magentatv.de,2,1,web.magentatv.de:OK:1499,broadcast_area=DE;lang=de
WorldPokerTour.us@Germany,World Poker Tour,OK,7,i.mjh.nz,2,1,i.mjh.nz:OK:7,broadcast_area=DE;iptv-country=DE;lang=de
WorldPokerTour.us@Italy,World Poker Tour,OK,11,i.mjh.nz,1,1,i.mjh.nz:OK:11,broadcast_area=DE
WorldPokerTour.us@Spain,World Poker Tour,OK,16,i.mjh.nz,3,1,i.mjh.nz:OK:16,broadcast_area=DE
WorldPokerTour.us@UK,World Poker Tour,OK,9,i.mjh.nz,2,1,i.mjh.nz:OK:9,broadcast_area=DE
WorldPokerTour.us@US,World Poker Tour,OK,6,i.mjh.nz,6,2,distro.tv:OK:0;i.mjh.nz:OK:6,broadcast_area=DE
WorldofFreesports.de@SD,World of Freesports,NO_EPG,0,,1,1,teleboy.ch:OK:0,broadcast_area=DE;iptv-country=DE;lang=de
XITEHits.nl@Germany,XITE Hits,OK,60,plex.tv,1,1,plex.tv:OK:60,broadcast_area=DE;iptv-country=DE;lang=de
XITEHits.nl@NL,XITE Hits,OK,63,plex.tv,1,1,plex.tv:OK:63,broadcast_area=DE
XITEHits.nl@UK,XITE Hits,OK,70,plex.tv,2,1,plex.tv:OK:70,broadcast_area=DE
XITEHits.nl@US,XITE Hits,OK,63,plex.tv,3,1,plex.tv:OK:63,broadcast_area=DE
Xplore.de@SD,XPLORE,OK,263,sky.com,3,1,sky.com:OK:263,broadcast_area=DE;lang=de
